arm,condition,layer,BASE,STRONG_nolock,locked_arm,lock_effect_vs_BASE,lock_effect_vs_STRONG
PW,pw,15,0.404,0.308,0.162,-0.242,-0.146
SEM,sem,18,0.317,0.298,0.474,0.156,0.176
