model,condition,seed,layer,cosine
BASE,sem,1,11,0.5701093077659607
BASE,sem,1,12,0.6441939473152161
BASE,sem,1,13,0.6037851572036743
BASE,sem,1,14,0.5919652581214905
BASE,sem,1,15,0.5080453157424927
BASE,sem,1,16,0.46324265003204346
BASE,sem,1,17,0.2813287079334259
BASE,sem,1,18,0.32474619150161743
BASE,sem,1,19,0.33304065465927124
BASE,sem,1,20,0.27321991324424744
BASE,sem,1,21,0.2589680552482605
BASE,sem,1,22,0.3513859510421753
BASE,sem,1,23,0.35286855697631836
BASE,sem,1,24,0.3393162488937378
BASE,sem,1,25,0.33597445487976074
BASE,sem,1,26,0.3197217285633087
BASE,sem,1,27,0.29881206154823303
BASE,sem,1,28,0.28142812848091125
BASE,pw,0,0,
BASE,pw,0,1,0.5233879685401917
BASE,pw,0,2,0.5536980628967285
BASE,pw,0,3,0.6403217315673828
BASE,pw,0,4,0.5574045777320862
BASE,pw,0,5,0.5262454152107239
BASE,pw,0,6,0.4745100140571594
BASE,pw,0,7,0.5091721415519714
BASE,pw,0,8,0.48360323905944824
BASE,pw,0,9,0.5115156769752502
BASE,pw,0,10,0.4818132221698761
BASE,pw,0,11,0.44723114371299744
BASE,pw,0,12,0.400282621383667
BASE,pw,0,13,0.42178142070770264
BASE,pw,0,14,0.4528616666793823
BASE,pw,0,15,0.40271538496017456
BASE,pw,0,16,0.3582374155521393
BASE,pw,0,17,0.26204460859298706
BASE,pw,0,18,0.2831061780452728
BASE,pw,0,19,0.24919220805168152
BASE,pw,0,20,0.2190207690000534
BASE,pw,0,21,0.19943779706954956
BASE,pw,0,22,0.19561107456684113
BASE,pw,0,23,0.15637704730033875
BASE,pw,0,24,0.09066981822252274
BASE,pw,0,25,0.06852667778730392
BASE,pw,0,26,0.14247173070907593
BASE,pw,0,27,0.15557950735092163
BASE,pw,0,28,0.14769962430000305
BASE,pw,1,0,
BASE,pw,1,1,0.5259117484092712
BASE,pw,1,2,0.560890257358551
BASE,pw,1,3,0.6573161482810974
BASE,pw,1,4,0.5693609118461609
BASE,pw,1,5,0.538792610168457
BASE,pw,1,6,0.471304327249527
BASE,pw,1,7,0.5090718269348145
BASE,pw,1,8,0.4975651800632477
BASE,pw,1,9,0.5192099809646606
BASE,pw,1,10,0.4936366081237793
BASE,pw,1,11,0.4582248330116272
BASE,pw,1,12,0.4044751524925232
BASE,pw,1,13,0.42635804414749146
BASE,pw,1,14,0.4466513991355896
BASE,pw,1,15,0.4048309326171875
BASE,pw,1,16,0.3489733338356018
BASE,pw,1,17,0.2492346465587616
BASE,pw,1,18,0.2766437530517578
BASE,pw,1,19,0.23864524066448212
BASE,pw,1,20,0.2020958960056305
BASE,pw,1,21,0.19335594773292542
BASE,pw,1,22,0.2017299234867096
BASE,pw,1,23,0.16314667463302612
BASE,pw,1,24,0.09046939015388489
BASE,pw,1,25,0.0733489990234375
BASE,pw,1,26,0.15530362725257874
BASE,pw,1,27,0.167270690202713
BASE,pw,1,28,0.13923822343349457
