model,condition,seed,layer,cosine,locked
BASE,sem,0,26,0.3094899654388428,False
BASE,sem,0,27,0.2970984280109405,False
BASE,sem,0,28,0.2687946259975433,False
BASE,sem,1,0,,False
BASE,sem,1,1,0.7269821763038635,False
BASE,sem,1,2,0.7557308673858643,False
BASE,sem,1,3,0.5804691910743713,False
BASE,sem,1,4,0.6672539114952087,False
BASE,sem,1,5,0.6658880710601807,False
BASE,sem,1,6,0.5974574685096741,False
BASE,sem,1,7,0.5190543532371521,False
BASE,sem,1,8,0.5411351323127747,False
BASE,sem,1,9,0.5312854051589966,False
BASE,sem,1,10,0.5408546328544617,False
BASE,sem,1,11,0.5701093077659607,False
BASE,sem,1,12,0.6441939473152161,False
BASE,sem,1,13,0.6037851572036743,False
BASE,sem,1,14,0.5919652581214905,False
BASE,sem,1,15,0.5080453157424927,False
BASE,sem,1,16,0.4632426500320434,False
BASE,sem,1,17,0.2813287079334259,False
BASE,sem,1,18,0.3247461915016174,False
BASE,sem,1,19,0.3330406546592712,False
BASE,sem,1,20,0.2732199132442474,False
BASE,sem,1,21,0.2589680552482605,False
BASE,sem,1,22,0.3513859510421753,False
BASE,sem,1,23,0.3528685569763183,False
BASE,sem,1,24,0.3393162488937378,False
BASE,sem,1,25,0.3359744548797607,False
BASE,sem,1,26,0.3197217285633087,False
BASE,sem,1,27,0.298812061548233,False
BASE,sem,1,28,0.2814281284809112,False
BASE,pw,0,0,,False
BASE,pw,0,1,0.5233879685401917,False
BASE,pw,0,2,0.5536980628967285,False
BASE,pw,0,3,0.6403217315673828,False
BASE,pw,0,4,0.5574045777320862,False
BASE,pw,0,5,0.5262454152107239,False
BASE,pw,0,6,0.4745100140571594,False
BASE,pw,0,7,0.5091721415519714,False
BASE,pw,0,8,0.4836032390594482,False
BASE,pw,0,9,0.5115156769752502,False
BASE,pw,0,10,0.4818132221698761,False
BASE,pw,0,11,0.4472311437129974,False
BASE,pw,0,12,0.400282621383667,False
BASE,pw,0,13,0.4217814207077026,False
BASE,pw,0,14,0.4528616666793823,False
BASE,pw,0,15,0.4027153849601745,False
BASE,pw,0,16,0.3582374155521393,False
BASE,pw,0,17,0.262044608592987,False
BASE,pw,0,18,0.2831061780452728,False
BASE,pw,0,19,0.2491922080516815,False
BASE,pw,0,20,0.2190207690000534,False
BASE,pw,0,21,0.1994377970695495,False
BASE,pw,0,22,0.1956110745668411,False
BASE,pw,0,23,0.1563770473003387,False
BASE,pw,0,24,0.0906698182225227,False
BASE,pw,0,25,0.0685266777873039,False
BASE,pw,0,26,0.1424717307090759,False
BASE,pw,0,27,0.1555795073509216,False
BASE,pw,0,28,0.147699624300003,False
BASE,pw,1,0,,False
BASE,pw,1,1,0.5259117484092712,False
BASE,pw,1,2,0.560890257358551,False
BASE,pw,1,3,0.6573161482810974,False
BASE,pw,1,4,0.5693609118461609,False
BASE,pw,1,5,0.538792610168457,False
BASE,pw,1,6,0.471304327249527,False
BASE,pw,1,7,0.5090718269348145,False
BASE,pw,1,8,0.4975651800632477,False
BASE,pw,1,9,0.5192099809646606,False
BASE,pw,1,10,0.4936366081237793,False
BASE,pw,1,11,0.4582248330116272,False
BASE,pw,1,12,0.4044751524925232,False
BASE,pw,1,13,0.4263580441474914,False
BASE,pw,1,14,0.4466513991355896,False
BASE,pw,1,15,0.4048309326171875,False
BASE,pw,1,16,0.3489733338356018,False
BASE,pw,1,17,0.2492346465587616,False
BASE,pw,1,18,0.2766437530517578,False
