arm,seed,capability,auc,accuracy,n_train,n_test,layer
PW,1,MATH,1.0,1.0,400,200,27
PW,1,MATH,1.0,1.0,400,200,28
PW,1,CODE,0.5,0.5,400,180,0
PW,1,CODE,1.0,1.0,400,180,1
PW,1,CODE,1.0,1.0,400,180,2
PW,1,CODE,1.0,1.0,400,180,3
PW,1,CODE,1.0,1.0,400,180,4
PW,1,CODE,1.0,1.0,400,180,5
PW,1,CODE,1.0,1.0,400,180,6
PW,1,CODE,1.0,1.0,400,180,7
PW,1,CODE,1.0,1.0,400,180,8
PW,1,CODE,1.0,1.0,400,180,9
PW,1,CODE,1.0,1.0,400,180,10
PW,1,CODE,1.0,1.0,400,180,11
PW,1,CODE,1.0,1.0,400,180,12
PW,1,CODE,1.0,1.0,400,180,13
PW,1,CODE,1.0,1.0,400,180,14
PW,1,CODE,1.0,1.0,400,180,15
PW,1,CODE,1.0,1.0,400,180,16
PW,1,CODE,1.0,1.0,400,180,17
PW,1,CODE,1.0,1.0,400,180,18
PW,1,CODE,1.0,1.0,400,180,19
PW,1,CODE,1.0,1.0,400,180,20
PW,1,CODE,1.0,1.0,400,180,21
PW,1,CODE,1.0,1.0,400,180,22
PW,1,CODE,1.0,1.0,400,180,23
PW,1,CODE,1.0,1.0,400,180,24
PW,1,CODE,1.0,1.0,400,180,25
PW,1,CODE,1.0,1.0,400,180,26
PW,1,CODE,1.0,1.0,400,180,27
PW,1,CODE,1.0,1.0,400,180,28
SEM,0,MATH,0.5,0.5,400,200,0
SEM,0,MATH,0.9816,0.925,400,200,1
SEM,0,MATH,0.9988,0.965,400,200,2
SEM,0,MATH,0.996,0.955,400,200,3
SEM,0,MATH,1.0,0.99,400,200,4
SEM,0,MATH,1.0,0.99,400,200,5
SEM,0,MATH,0.9982,0.97,400,200,6
SEM,0,MATH,0.9981,0.975,400,200,7
SEM,0,MATH,0.9989,0.985,400,200,8
SEM,0,MATH,0.9983,0.985,400,200,9
SEM,0,MATH,0.9999,0.995,400,200,10
SEM,0,MATH,1.0,1.0,400,200,11
SEM,0,MATH,1.0,1.0,400,200,12
SEM,0,MATH,1.0,1.0,400,200,13
SEM,0,MATH,1.0,1.0,400,200,14
SEM,0,MATH,1.0,1.0,400,200,15
SEM,0,MATH,1.0,1.0,400,200,16
SEM,0,MATH,1.0,1.0,400,200,17
SEM,0,MATH,1.0,1.0,400,200,18
SEM,0,MATH,1.0,1.0,400,200,19
SEM,0,MATH,1.0,1.0,400,200,20
SEM,0,MATH,1.0,1.0,400,200,21
SEM,0,MATH,1.0,1.0,400,200,22
