arm,condition,layer,BASE,STRONG,locked_arm,sft_component,lock_component,total,is_selected_layer
PW,pw,0,,,,,,,False
PW,pw,1,0.5246498584747314,0.5266856849193573,0.5388474762439728,0.0020358264446258545,0.012161791324615479,0.014197617769241333,False
PW,pw,2,0.5572941601276398,0.5147099196910858,0.5600355267524719,-0.042584240436553955,0.04532560706138611,0.0027413666248321533,False
PW,pw,3,0.6488189399242401,0.6202147305011749,0.777604877948761,-0.028604209423065186,0.15739014744758606,0.12878593802452087,False
PW,pw,4,0.5633827447891235,0.5174148976802826,0.6729441583156586,-0.04596784710884094,0.15552926063537598,0.10956141352653503,False
PW,pw,5,0.5325190126895905,0.5002903789281845,0.6535349190235138,-0.032228633761405945,0.15324454009532928,0.12101590633392334,False
PW,pw,6,0.4729071706533432,0.49079324305057526,0.6297276616096497,0.017886072397232056,0.1389344185590744,0.15682049095630646,False
PW,pw,7,0.5091219842433929,0.4990277886390686,0.6289108395576477,-0.01009419560432434,0.1298830509185791,0.11978885531425476,False
PW,pw,8,0.49058420956134796,0.4534575939178467,0.5932457447052002,-0.03712661564350128,0.13978815078735352,0.10266153514385223,False
PW,pw,9,0.5153628289699554,0.447461262345314,0.5189639925956726,-0.06790156662464142,0.07150273025035858,0.003601163625717163,False
PW,pw,10,0.4877249151468277,0.4566658288240433,0.564921498298645,-0.031059086322784424,0.10825566947460175,0.07719658315181732,False
PW,pw,11,0.4527279883623123,0.4218301326036453,0.5699400901794434,-0.030897855758666992,0.14810995757579803,0.11721210181713104,False
PW,pw,12,0.4023788869380951,0.37827517092227936,0.4741640836000442,-0.024103716015815735,0.09588891267776484,0.0717851966619491,False
PW,pw,13,0.424069732427597,0.36417968571186066,0.3587491512298584,-0.059890046715736334,-0.005430534482002258,-0.06532058119773859,False
PW,pw,14,0.44975653290748596,0.39789293706417084,0.27171558141708374,-0.051863595843315125,-0.1261773556470871,-0.17804095149040222,False
PW,pw,15,0.40377315878868103,0.3078976646065712,0.161579992622137,-0.09587549418210983,-0.1463176719844342,-0.24219316616654404,True
PW,pw,16,0.35360537469387054,0.3623645752668381,0.07781860232353205,0.00875920057296753,-0.284545972943306,-0.2757867723703385,False
PW,pw,17,0.25563962757587433,0.3337814956903457,0.04677984060253945,0.07814186811447138,-0.2870016550878063,-0.20885978697333488,False
PW,pw,18,0.2798749655485153,0.29657840728759766,0.0817395187914371,0.016703441739082336,-0.21483888849616056,-0.19813544675707823,False
PW,pw,19,0.2439187243580818,0.27592398226261133,0.09129897505044934,0.032005257904529544,-0.184625007212162,-0.15261974930763245,False
PW,pw,20,0.21055833250284195,0.25455600768327713,0.17380008846521375,0.04399767518043518,-0.08075591921806338,-0.0367582440376282,False
