arm,seed,capability,layer,source,is_primary,participation_ratio_centered,participation_ratio_uncentered,direction_norm,heldout_cohens_d,n_pairs
PW,0,MATH,0,train_templates,False,,,0.0,,200
PW,0,MATH,1,train_templates,False,4.150955103539771,1.8160155847470545,1.7392451763153076,12.031176567077637,200
PW,0,MATH,2,train_templates,False,4.663053538210615,1.544028625212117,3.360867977142334,19.21352195739746,200
PW,0,MATH,3,train_templates,False,7.086480616592439,1.457469290693737,5.392649173736572,9.22020435333252,200
PW,0,MATH,4,train_templates,False,7.0575869055132845,1.6957153601852315,6.840647220611572,11.452664375305176,200
PW,0,MATH,5,train_templates,False,8.210272491750034,1.757547425228532,6.571661949157715,9.830466270446777,200
PW,0,MATH,6,train_templates,False,6.924690649046363,1.7266186358915847,7.29233980178833,11.570406913757324,200
PW,0,MATH,7,train_templates,False,6.826153705018972,1.7929998284190867,7.008031368255615,12.706107139587402,200
PW,0,MATH,8,train_templates,False,5.791404921507743,1.6421616965847652,7.874331951141357,16.429235458374023,200
PW,0,MATH,9,train_templates,False,4.687528758817753,1.412292220552958,9.871577262878418,20.663331985473633,200
PW,0,MATH,10,train_templates,False,3.1978662293838456,1.2570655814399376,13.0615234375,27.1010684967041,200
PW,0,MATH,11,train_templates,False,3.949673925697295,1.1693923962466304,18.98834228515625,19.504562377929688,200
PW,0,MATH,12,train_templates,False,3.0703036391788516,1.172374291791473,21.54991912841797,28.751869201660156,200
PW,0,MATH,13,train_templates,False,2.6693678114057398,1.1501733878234757,21.491748809814453,31.674793243408203,200
PW,0,MATH,14,train_templates,False,2.723548279763093,1.1515015411274696,24.53268814086914,36.063175201416016,200
PW,0,MATH,15,train_templates,False,2.356777926811968,1.1264501129134727,26.059274673461914,39.798301696777344,200
PW,0,MATH,16,train_templates,False,4.164209906460854,1.219475864257523,25.243906021118164,34.94011688232422,200
PW,0,MATH,17,train_templates,False,5.7403725678907565,1.312772465277829,29.143434524536133,36.72574996948242,200
PW,0,MATH,18,train_templates,False,7.294493148589268,1.3870864696762601,30.282238006591797,36.488685607910156,200
PW,0,MATH,19,train_templates,False,10.13014900813617,1.4829583906535482,32.916378021240234,32.234336853027344,200
PW,0,MATH,20,train_templates,False,10.184322527913322,1.5360846967235693,32.719642639160156,30.117408752441406,200
PW,0,MATH,21,train_templates,False,17.433562740302396,1.7457858631635501,37.09440994262695,23.06809425354004,200
PW,0,MATH,22,train_templates,False,25.81888650646266,2.177090719493454,40.64067077636719,18.99089241027832,200
PW,0,MATH,23,train_templates,False,29.213825705717277,2.3223607733730818,46.839420318603516,17.708820343017578,200
PW,0,MATH,24,train_templates,False,31.556688861516093,2.450502671844027,52.69096755981445,16.2999267578125,200
PW,0,MATH,25,train_templates,False,35.28253849514786,2.5323674525095465,59.21360397338867,15.422113418579102,200
PW,0,MATH,26,train_templates,False,36.87252528517337,2.8026926705198028,61.988319396972656,14.330238342285156,200
PW,0,MATH,27,train_templates,False,40.84927610740843,3.1319167393297254,66.8033447265625,12.004924774169922,200
PW,0,MATH,28,train_templates,False,38.2586247153064,3.1914566524561985,64.85958099365234,12.557446479797363,200
PW,0,MATH,0,heldout_templates,True,,,0.0,,100
PW,0,MATH,1,heldout_templates,True,4.854636907712219,1.2567733833593124,1.8444557189941406,12.33193588256836,100
PW,0,MATH,2,heldout_templates,True,6.2441658002506975,1.2750527338420978,3.5467727184295654,19.08135986328125,100
PW,0,MATH,3,heldout_templates,True,5.744331151292551,1.331291375995692,5.437354564666748,9.635141372680664,100
PW,0,MATH,4,heldout_templates,True,7.226705605025842,1.542223944214435,6.90239953994751,11.856626510620117,100
PW,0,MATH,5,heldout_templates,True,8.215967602740351,1.609908745772112,6.628102779388428,10.195948600769043,100
PW,0,MATH,6,heldout_templates,True,6.381007398033881,1.638144913138188,7.4224162101745605,11.151259422302246,100
PW,0,MATH,7,heldout_templates,True,6.968024994692065,1.6558978409447231,7.064225673675537,12.609951972961426,100
PW,0,MATH,8,heldout_templates,True,8.755767797492437,1.4449375035334395,7.994324684143066,16.689443588256836,100
PW,0,MATH,9,heldout_templates,True,10.005354246230938,1.2606612107669006,10.12789249420166,21.037431716918945,100
PW,0,MATH,10,heldout_templates,True,11.507330680921994,1.155056431828496,13.610331535339355,27.067808151245117,100
PW,0,MATH,11,heldout_templates,True,11.395211074561715,1.1127185006108065,20.07590103149414,19.509794235229492,100
PW,0,MATH,12,heldout_templates,True,13.533326412780637,1.116323019528972,22.818073272705078,28.449419021606445,100
PW,0,MATH,13,heldout_templates,True,16.602102766872452,1.1041091974720105,22.875965118408203,31.603912353515625,100
PW,0,MATH,14,heldout_templates,True,18.485284021626498,1.1072648863789836,25.946353912353516,36.67073440551758,100
PW,0,MATH,15,heldout_templates,True,19.00040138062398,1.0888191301813812,27.753568649291992,40.29550552368164,100
PW,0,MATH,16,heldout_templates,True,25.499471901851322,1.1791865001895727,26.8507080078125,35.245243072509766,100
PW,0,MATH,17,heldout_templates,True,26.19798750178241,1.2541458786446884,31.20125389099121,36.974143981933594,100
PW,0,MATH,18,heldout_templates,True,27.39179674348166,1.3104667296546753,32.4189453125,36.646121978759766,100
PW,0,MATH,19,heldout_templates,True,28.906673388160712,1.3960969583043026,35.0727653503418,32.967594146728516,100
PW,0,MATH,20,heldout_templates,True,27.830326881430768,1.4214306222333362,35.00469207763672,31.134790420532227,100
PW,0,MATH,21,heldout_templates,True,34.22613140964913,1.5731059104206901,39.23539733886719,24.173416137695312,100
PW,0,MATH,22,heldout_templates,True,32.7320619489673,1.9028105994183744,42.930328369140625,19.771930694580078,100
PW,0,MATH,23,heldout_templates,True,32.51681935696324,1.9948541882194286,49.29403305053711,18.432485580444336,100
PW,0,MATH,24,heldout_templates,True,33.073349358448915,2.084467574336402,55.53020477294922,16.88808250427246,100
PW,0,MATH,25,heldout_templates,True,34.388522112842985,2.1691284306283016,61.72209548950195,15.822578430175781,100
PW,0,MATH,26,heldout_templates,True,33.59607356501995,2.3553106544861673,65.41091918945312,14.557768821716309,100
PW,0,MATH,27,heldout_templates,True,30.93723263417537,2.623509489854539,70.22692108154297,12.368343353271484,100
PW,0,MATH,28,heldout_templates,True,32.77698020293421,2.5561278385274506,68.26618194580078,11.313263893127441,100
PW,0,CODE,0,train_templates,False,1.0000000000000036,1.0,0.0036644835490733385,0.0,200
PW,0,CODE,1,train_templates,False,1.8356414840047117,2.7067801658879955,1.413352370262146,12.48970890045166,200
PW,0,CODE,2,train_templates,False,2.7941324765075986,2.6079667921105263,2.629905939102173,20.881980895996094,200
PW,0,CODE,3,train_templates,False,3.913697432520808,1.8491482181367422,5.337182521820068,10.562222480773926,200
PW,0,CODE,4,train_templates,False,6.097098653668249,1.9010711644747678,6.7730231285095215,11.1478853225708,200
PW,0,CODE,5,train_templates,False,4.3597690260919455,2.1537844756776283,6.722301006317139,11.1608304977417,200
PW,0,CODE,6,train_templates,False,5.41604860239166,2.222262401720371,6.540037155151367,12.215354919433594,200
PW,0,CODE,7,train_templates,False,4.940628376346599,2.3770885503484003,5.768889427185059,11.50629997253418,200
PW,0,CODE,8,train_templates,False,4.405699931874296,2.364796819762382,6.076157569885254,11.495279312133789,200
