arm,capability,seed,layer,direction,alpha,acc,acc_unlocked,acc_locked_stage2b,acc_locked_alpha0,recovery_original,recovery_corrected
SEM,MATH,0,18,shuffled_labels,4.0,0.0,0.5266666666666666,0.41333333333333333,0.44,0.0,0.0
SEM,CODE,0,18,unlock_direction,0.0,0.44666666666666666,0.54,0.44,0.44666666666666666,0.06666666666666651,0.0
SEM,CODE,0,18,unlock_direction,0.5,0.43333333333333335,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,CODE,0,18,unlock_direction,1.0,0.4533333333333333,0.54,0.44,0.44666666666666666,0.13333333333333303,0.07142857142857126
SEM,CODE,0,18,unlock_direction,2.0,0.15333333333333332,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,CODE,0,18,unlock_direction,4.0,0.0,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,CODE,0,18,unlock_direction,8.0,0.0,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,CODE,0,18,random_direction,1.0,0.32,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,CODE,0,18,random_direction,2.0,0.0,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,CODE,0,18,random_direction,4.0,0.0,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,CODE,0,18,shuffled_labels,1.0,0.15333333333333332,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,CODE,0,18,shuffled_labels,2.0,0.0,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,CODE,0,18,shuffled_labels,4.0,0.0,0.54,0.44,0.44666666666666666,0.0,0.0
SEM,MATH,1,18,unlock_direction,0.0,0.4,0.5333333333333333,0.42,0.4,0.0,0.0
SEM,MATH,1,18,unlock_direction,0.5,0.4866666666666667,0.5333333333333333,0.42,0.4,0.5882352941176474,0.6500000000000001
SEM,MATH,1,18,unlock_direction,1.0,0.38,0.5333333333333333,0.42,0.4,0.0,0.0
SEM,MATH,1,18,unlock_direction,2.0,0.02666666666666667,0.5333333333333333,0.42,0.4,0.0,0.0
SEM,MATH,1,18,unlock_direction,4.0,0.0,0.5333333333333333,0.42,0.4,0.0,0.0
SEM,MATH,1,18,unlock_direction,8.0,0.0,0.5333333333333333,0.42,0.4,0.0,0.0
SEM,CODE,1,18,unlock_direction,0.0,0.38666666666666666,0.54,0.3933333333333333,0.38666666666666666,0.0,0.0
SEM,CODE,1,18,unlock_direction,0.5,0.4533333333333333,0.54,0.3933333333333333,0.38666666666666666,0.4090909090909089,0.43478260869565194
SEM,CODE,1,18,unlock_direction,1.0,0.44666666666666666,0.54,0.3933333333333333,0.38666666666666666,0.3636363636363636,0.3913043478260868
SEM,CODE,1,18,unlock_direction,2.0,0.12666666666666668,0.54,0.3933333333333333,0.38666666666666666,0.0,0.0
SEM,CODE,1,18,unlock_direction,4.0,0.0,0.54,0.3933333333333333,0.38666666666666666,0.0,0.0
SEM,CODE,1,18,unlock_direction,8.0,0.0,0.54,0.3933333333333333,0.38666666666666666,0.0,0.0
