arm,capability,seed,layer,hook_layer,direction,alpha,natural_scale,acc,acc_locked,acc_unlocked,recovery,recovery_lo,recovery_hi,parse_failure_rate,n
SEM,MATH,0,18,17,random_direction,1.0,21.786222457885742,0.36666666666666664,0.41333333333333333,0.5266666666666666,0.0,0.0,0.3301075268817083,0.0,150
SEM,MATH,0,18,17,random_direction,2.0,21.786222457885742,0.02,0.41333333333333333,0.5266666666666666,0.0,0.0,0.0,0.006666666666666667,150
SEM,MATH,0,18,17,random_direction,4.0,21.786222457885742,0.02,0.41333333333333333,0.5266666666666666,0.0,0.0,0.0,0.17333333333333334,150
SEM,MATH,0,18,17,shuffled_labels,1.0,21.786222457885742,0.08666666666666667,0.41333333333333333,0.5266666666666666,0.0,0.0,0.0,0.0,150
SEM,MATH,0,18,17,shuffled_labels,2.0,21.786222457885742,0.013333333333333334,0.41333333333333333,0.5266666666666666,0.0,0.0,0.0,0.04666666666666667,150
SEM,MATH,0,18,17,shuffled_labels,4.0,21.786222457885742,0.0,0.41333333333333333,0.5266666666666666,0.0,0.0,0.0,1.0,150
SEM,CODE,0,18,17,unlock_direction,0.0,20.263545989990234,0.44666666666666666,0.44,0.54,0.06666666666666651,0.0,0.37499999999999983,0.0,150
SEM,CODE,0,18,17,unlock_direction,0.5,20.263545989990234,0.43333333333333335,0.44,0.54,0.0,0.0,0.5555555555555559,0.0,150
SEM,CODE,0,18,17,unlock_direction,1.0,20.263545989990234,0.4533333333333333,0.44,0.54,0.13333333333333303,0.0,0.769230769230769,0.0,150
SEM,CODE,0,18,17,unlock_direction,2.0,20.263545989990234,0.15333333333333332,0.44,0.54,0.0,0.0,0.0,0.0,150
SEM,CODE,0,18,17,unlock_direction,4.0,20.263545989990234,0.0,0.44,0.54,0.0,0.0,0.0,0.96,150
SEM,CODE,0,18,17,unlock_direction,8.0,20.263545989990234,0.0,0.44,0.54,0.0,0.0,0.0,1.0,150
SEM,CODE,0,18,17,random_direction,1.0,20.263545989990234,0.32,0.44,0.54,0.0,0.0,0.0,0.0,150
SEM,CODE,0,18,17,random_direction,2.0,20.263545989990234,0.0,0.44,0.54,0.0,0.0,0.0,0.0,150
SEM,CODE,0,18,17,random_direction,4.0,20.263545989990234,0.0,0.44,0.54,0.0,0.0,0.0,0.9666666666666667,150
SEM,CODE,0,18,17,shuffled_labels,1.0,20.263545989990234,0.15333333333333332,0.44,0.54,0.0,0.0,0.0,0.14666666666666667,150
SEM,CODE,0,18,17,shuffled_labels,2.0,20.263545989990234,0.0,0.44,0.54,0.0,0.0,0.0,1.0,150
SEM,CODE,0,18,17,shuffled_labels,4.0,20.263545989990234,0.0,0.44,0.54,0.0,0.0,0.0,1.0,150
SEM,MATH,1,18,17,unlock_direction,0.0,20.14834213256836,0.4,0.42,0.5333333333333333,0.0,0.0,0.11111111111111137,0.0,150
SEM,MATH,1,18,17,unlock_direction,0.5,20.14834213256836,0.4866666666666667,0.42,0.5333333333333333,0.5882352941176474,0.0,1.0,0.0,150
SEM,MATH,1,18,17,unlock_direction,1.0,20.14834213256836,0.38,0.42,0.5333333333333333,0.0,0.0,0.3200000000000001,0.0,150
SEM,MATH,1,18,17,unlock_direction,2.0,20.14834213256836,0.02666666666666667,0.42,0.5333333333333333,0.0,0.0,0.0,0.0,150
SEM,MATH,1,18,17,unlock_direction,4.0,20.14834213256836,0.0,0.42,0.5333333333333333,0.0,0.0,0.0,0.006666666666666667,150
SEM,MATH,1,18,17,unlock_direction,8.0,20.14834213256836,0.0,0.42,0.5333333333333333,0.0,0.0,0.0,0.0,150
SEM,CODE,1,18,17,unlock_direction,0.0,19.35788917541504,0.38666666666666666,0.3933333333333333,0.54,0.0,0.0,0.11538461538461517,0.0,150
SEM,CODE,1,18,17,unlock_direction,0.5,19.35788917541504,0.4533333333333333,0.3933333333333333,0.54,0.4090909090909089,0.0,0.8421052631578946,0.0,150
SEM,CODE,1,18,17,unlock_direction,1.0,19.35788917541504,0.44666666666666666,0.3933333333333333,0.54,0.3636363636363636,0.0,0.8260869565217394,0.0,150
SEM,CODE,1,18,17,unlock_direction,2.0,19.35788917541504,0.12666666666666668,0.3933333333333333,0.54,0.0,0.0,0.0,0.04666666666666667,150
SEM,CODE,1,18,17,unlock_direction,4.0,19.35788917541504,0.0,0.3933333333333333,0.54,0.0,0.0,0.0,1.0,150
SEM,CODE,1,18,17,unlock_direction,8.0,19.35788917541504,0.0,0.3933333333333333,0.54,0.0,0.0,0.0,1.0,150
