arm,seed,layer,cosine,source,is_primary,cap_a,cap_b
PW,1,13,0.3251491189002991,heldout_templates,True,MATH,CODE
PW,1,14,0.25026261806488037,heldout_templates,True,MATH,CODE
PW,1,15,0.12316412478685379,heldout_templates,True,MATH,CODE
PW,1,16,0.04528536647558212,heldout_templates,True,MATH,CODE
PW,1,17,-0.0031214889604598284,heldout_templates,True,MATH,CODE
PW,1,18,0.07395318895578384,heldout_templates,True,MATH,CODE
PW,1,19,0.0789419412612915,heldout_templates,True,MATH,CODE
PW,1,20,0.19232244789600372,heldout_templates,True,MATH,CODE
PW,1,21,0.22893963754177094,heldout_templates,True,MATH,CODE
PW,1,22,0.18636728823184967,heldout_templates,True,MATH,CODE
PW,1,23,0.1377374827861786,heldout_templates,True,MATH,CODE
PW,1,24,0.13512521982192993,heldout_templates,True,MATH,CODE
PW,1,25,0.16233228147029877,heldout_templates,True,MATH,CODE
PW,1,26,0.11775677651166916,heldout_templates,True,MATH,CODE
PW,1,27,0.1508038341999054,heldout_templates,True,MATH,CODE
PW,1,28,-0.0022950335405766964,heldout_templates,True,MATH,CODE
SEM,0,0,,train_templates,False,MATH,CODE
SEM,0,1,0.6176303029060364,train_templates,False,MATH,CODE
SEM,0,2,0.8006230592727661,train_templates,False,MATH,CODE
SEM,0,3,0.6609483361244202,train_templates,False,MATH,CODE
SEM,0,4,0.7507182359695435,train_templates,False,MATH,CODE
SEM,0,5,0.7108376622200012,train_templates,False,MATH,CODE
SEM,0,6,0.6532737612724304,train_templates,False,MATH,CODE
SEM,0,7,0.6056137084960938,train_templates,False,MATH,CODE
SEM,0,8,0.6580159664154053,train_templates,False,MATH,CODE
SEM,0,9,0.6395564675331116,train_templates,False,MATH,CODE
SEM,0,10,0.6764348149299622,train_templates,False,MATH,CODE
SEM,0,11,0.6860686540603638,train_templates,False,MATH,CODE
SEM,0,12,0.8755151629447937,train_templates,False,MATH,CODE
SEM,0,13,0.7597688436508179,train_templates,False,MATH,CODE
SEM,0,14,0.6817277669906616,train_templates,False,MATH,CODE
SEM,0,15,0.6209656596183777,train_templates,False,MATH,CODE
SEM,0,16,0.5840529203414917,train_templates,False,MATH,CODE
SEM,0,17,0.5193095803260803,train_templates,False,MATH,CODE
SEM,0,18,0.46862196922302246,train_templates,False,MATH,CODE
SEM,0,19,0.4504386782646179,train_templates,False,MATH,CODE
SEM,0,20,0.5151894688606262,train_templates,False,MATH,CODE
SEM,0,21,0.5090955495834351,train_templates,False,MATH,CODE
SEM,0,22,0.45267802476882935,train_templates,False,MATH,CODE
SEM,0,23,0.4012240469455719,train_templates,False,MATH,CODE
SEM,0,24,0.3690488636493683,train_templates,False,MATH,CODE
SEM,0,25,0.38586241006851196,train_templates,False,MATH,CODE
SEM,0,26,0.2777785360813141,train_templates,False,MATH,CODE
SEM,0,27,0.2668698728084564,train_templates,False,MATH,CODE
SEM,0,28,0.2942705452442169,train_templates,False,MATH,CODE
SEM,0,0,,heldout_templates,True,MATH,CODE
SEM,0,1,0.766942024230957,heldout_templates,True,MATH,CODE
SEM,0,2,0.8205861449241638,heldout_templates,True,MATH,CODE
SEM,0,3,0.6713849902153015,heldout_templates,True,MATH,CODE
SEM,0,4,0.7092871069908142,heldout_templates,True,MATH,CODE
SEM,0,5,0.6782434582710266,heldout_templates,True,MATH,CODE
SEM,0,6,0.5682937502861023,heldout_templates,True,MATH,CODE
SEM,0,7,0.5385514497756958,heldout_templates,True,MATH,CODE
SEM,0,8,0.564916729927063,heldout_templates,True,MATH,CODE
SEM,0,9,0.5549328923225403,heldout_templates,True,MATH,CODE
SEM,0,10,0.594658613204956,heldout_templates,True,MATH,CODE
SEM,0,11,0.6196515560150146,heldout_templates,True,MATH,CODE
SEM,0,12,0.8556333780288696,heldout_templates,True,MATH,CODE
SEM,0,13,0.7347984910011292,heldout_templates,True,MATH,CODE
SEM,0,14,0.6567028164863586,heldout_templates,True,MATH,CODE
SEM,0,15,0.589717447757721,heldout_templates,True,MATH,CODE
SEM,0,16,0.5502576231956482,heldout_templates,True,MATH,CODE
SEM,0,17,0.5033591389656067,heldout_templates,True,MATH,CODE
SEM,0,18,0.44877171516418457,heldout_templates,True,MATH,CODE
SEM,0,19,0.4336613118648529,heldout_templates,True,MATH,CODE
SEM,0,20,0.5028203725814819,heldout_templates,True,MATH,CODE
SEM,0,21,0.4913000762462616,heldout_templates,True,MATH,CODE
SEM,0,22,0.4275418817996979,heldout_templates,True,MATH,CODE
SEM,0,23,0.3847927153110504,heldout_templates,True,MATH,CODE
SEM,0,24,0.3557899296283722,heldout_templates,True,MATH,CODE
SEM,0,25,0.3772119879722595,heldout_templates,True,MATH,CODE
SEM,0,26,0.28255873918533325,heldout_templates,True,MATH,CODE
SEM,0,27,0.26606059074401855,heldout_templates,True,MATH,CODE
SEM,0,28,0.21814842522144318,heldout_templates,True,MATH,CODE
SEM,1,0,,train_templates,False,MATH,CODE
SEM,1,1,0.6139503121376038,train_templates,False,MATH,CODE
SEM,1,2,0.8043564558029175,train_templates,False,MATH,CODE
SEM,1,3,0.7147510051727295,train_templates,False,MATH,CODE
SEM,1,4,0.7530540823936462,train_templates,False,MATH,CODE
SEM,1,5,0.7099329829216003,train_templates,False,MATH,CODE
SEM,1,6,0.6567897796630859,train_templates,False,MATH,CODE
SEM,1,7,0.6081030964851379,train_templates,False,MATH,CODE
SEM,1,8,0.6575824022293091,train_templates,False,MATH,CODE
SEM,1,9,0.6406533122062683,train_templates,False,MATH,CODE
SEM,1,10,0.6760766506195068,train_templates,False,MATH,CODE
SEM,1,11,0.6743268370628357,train_templates,False,MATH,CODE
SEM,1,12,0.8799622058868408,train_templates,False,MATH,CODE
SEM,1,13,0.787885308265686,train_templates,False,MATH,CODE
SEM,1,14,0.7115648984909058,train_templates,False,MATH,CODE
SEM,1,15,0.6400071978569031,train_templates,False,MATH,CODE
SEM,1,16,0.6026541590690613,train_templates,False,MATH,CODE
SEM,1,17,0.5520655512809753,train_templates,False,MATH,CODE
SEM,1,18,0.5201448202133179,train_templates,False,MATH,CODE
SEM,1,19,0.47988152503967285,train_templates,False,MATH,CODE
SEM,1,20,0.5989790558815002,train_templates,False,MATH,CODE
SEM,1,21,0.54781174659729,train_templates,False,MATH,CODE
SEM,1,22,0.4907461106777191,train_templates,False,MATH,CODE
SEM,1,23,0.44155803322792053,train_templates,False,MATH,CODE
SEM,1,24,0.410746306180954,train_templates,False,MATH,CODE
SEM,1,25,0.4349040687084198,train_templates,False,MATH,CODE
SEM,1,26,0.33779820799827576,train_templates,False,MATH,CODE
SEM,1,27,0.329978883266449,train_templates,False,MATH,CODE
SEM,1,28,0.267686128616333,train_templates,False,MATH,CODE
SEM,1,0,,heldout_templates,True,MATH,CODE
SEM,1,1,0.7176282405853271,heldout_templates,True,MATH,CODE
SEM,1,2,0.7674943804740906,heldout_templates,True,MATH,CODE
SEM,1,3,0.6349323391914368,heldout_templates,True,MATH,CODE
SEM,1,4,0.6678870916366577,heldout_templates,True,MATH,CODE
SEM,1,5,0.6273912787437439,heldout_templates,True,MATH,CODE
SEM,1,6,0.4649079442024231,heldout_templates,True,MATH,CODE
SEM,1,7,0.406622976064682,heldout_templates,True,MATH,CODE
SEM,1,8,0.48147502541542053,heldout_templates,True,MATH,CODE
SEM,1,9,0.5105266571044922,heldout_templates,True,MATH,CODE
SEM,1,10,0.5265895128250122,heldout_templates,True,MATH,CODE
SEM,1,11,0.5559753775596619,heldout_templates,True,MATH,CODE
SEM,1,12,0.8559515476226807,heldout_templates,True,MATH,CODE
SEM,1,13,0.7692815661430359,heldout_templates,True,MATH,CODE
SEM,1,14,0.6850800514221191,heldout_templates,True,MATH,CODE
SEM,1,15,0.6092933416366577,heldout_templates,True,MATH,CODE
SEM,1,16,0.5720174908638,heldout_templates,True,MATH,CODE
SEM,1,17,0.5375192761421204,heldout_templates,True,MATH,CODE
SEM,1,18,0.4985470473766327,heldout_templates,True,MATH,CODE
SEM,1,19,0.4655352234840393,heldout_templates,True,MATH,CODE
SEM,1,20,0.592265784740448,heldout_templates,True,MATH,CODE
SEM,1,21,0.5344613194465637,heldout_templates,True,MATH,CODE
SEM,1,22,0.470505952835083,heldout_templates,True,MATH,CODE
SEM,1,23,0.4249799847602844,heldout_templates,True,MATH,CODE
SEM,1,24,0.39445218443870544,heldout_templates,True,MATH,CODE
