arm,seed,layer,cosine,ci_lo,ci_hi,source,n_resamples,cap_a,cap_b
PW,0,15,0.19999586045742035,0.191504218056798,0.20808760337531565,heldout_templates,2000,MATH,CODE
PW,1,15,0.1231640949845314,0.11512123923748732,0.13098548650741576,heldout_templates,2000,MATH,CODE
SEM,0,18,0.44877171516418457,0.44039909169077873,0.45550367832183836,heldout_templates,2000,MATH,CODE
SEM,1,18,0.4985469579696655,0.4896617703139782,0.5056356504559517,heldout_templates,2000,MATH,CODE
PW_XT,0,15,0.2110452502965927,0.20276194885373117,0.21901141069829463,heldout_templates,2000,MATH,CODE
PW_XT,1,15,0.22276946902275085,0.21454587802290917,0.2306304879486561,heldout_templates,2000,MATH,CODE
SEM_XT,0,17,0.3966159224510193,0.3801113449037075,0.40969482585787775,heldout_templates,2000,MATH,CODE
SEM_XT,1,17,0.33582422137260437,0.32067872658371926,0.34887192249298093,heldout_templates,2000,MATH,CODE
