model,condition,seed,layer,cosine,ci_lo,ci_hi,pr_MATH,pr_CODE,n_pairs
STRONG,sem,0,11,0.4957275688648224,0.4510433726012707,0.5086616620421409,5.710610414275215,6.322273186843565,100
STRONG,sem,1,11,0.5474948287010193,0.48326500579714776,0.5761115163564682,5.739430411377006,5.237296640743804,100
STRONG,pw,0,2,0.5047271251678467,0.4948527567088604,0.51248297393322,1.2776732920348226,1.2803757921979548,100
STRONG,pw,1,2,0.524692714214325,0.5153427004814148,0.5323332488536835,1.2595370830387962,1.3002774239768784,100
BASE,sem,0,11,0.5617005825042725,0.509076552093029,0.5776394486427308,4.872546662134386,5.427862634808859,100
BASE,sem,1,11,0.5701091885566711,0.4854009963572025,0.6035481035709381,4.839207508095017,4.721293685990826,100
BASE,pw,0,2,0.5536980032920837,0.5421083509922028,0.5623012006282806,1.3075566309145317,1.301352917211767,100
BASE,pw,1,2,0.5608901977539062,0.5509850949048996,0.5689469486474991,1.2808270009894207,1.3251433829047579,100
