experiment,arm,elicited_on,n_seeds,recovery_mean_over_seeds,recovery,recovery_lo,recovery_hi,n_problems_total,ci_method,acc_elicited,acc_lo,acc_hi
cross_capability,PW,CODE,2,0.25,0.25,0.0,0.508641604010025,600,pooled_over_seeds,0.4766666666666667,0.43666666666666665,0.5166666666666667
cross_capability,PW,MATH,2,0.06896551724137934,0.06896551724137934,0.0,0.19559936082623142,600,pooled_over_seeds,0.40166666666666667,0.36333333333333334,0.44166666666666665
cross_capability,SEM,CODE,2,0.7250000000000001,0.7250000000000001,0.4844145509662752,0.9242424242424241,600,pooled_over_seeds,0.55,0.51,0.5883333333333334
cross_capability,SEM,MATH,2,0.8113372093023256,0.8113372093023256,0.6174370540170814,0.9482810867293625,600,pooled_over_seeds,0.525,0.485,0.565
cross_trigger,PW,CODE,2,0.16176470588235292,0.16176470588235292,0.0,0.5750000000000002,600,pooled_over_seeds,0.4683333333333333,0.42833333333333334,0.5083333333333333
cross_trigger,PW,MATH,2,0.0,0.0,0.0,0.1489240812379111,600,pooled_over_seeds,0.415,0.37666666666666665,0.455
cross_trigger,SEM,CODE,2,0.5596405228758171,0.5596405228758171,0.262491883116883,0.8415471881060114,600,pooled_over_seeds,0.52,0.48,0.56
cross_trigger,SEM,MATH,2,0.2992592592592592,0.2992592592592592,0.0,0.6809090909090909,600,pooled_over_seeds,0.4716666666666667,0.43,0.5116666666666667
