experiment,arm,elicited_on,n_seeds,recovery_mean_over_seeds,recovery,recovery_lo,recovery_hi,n_problems_total,ci_method,acc_elicited,acc_lo,acc_hi
cross_capability,PW,CODE,2,1.0,1.0,0.8873182644252612,1.0,600,pooled_over_seeds,0.5633333333333334,0.5233333333333333,0.6033333333333334
cross_capability,PW,MATH,2,1.0,1.0,0.9218750000000001,1.0,600,pooled_over_seeds,0.6116666666666667,0.5716666666666667,0.6500416666666661
cross_capability,SEM,CODE,2,0.8238372093023254,0.8238372093023254,0.5867613320355951,0.9864864864864866,600,pooled_over_seeds,0.5266666666666666,0.4866666666666667,0.5666666666666667
cross_capability,SEM,MATH,2,0.9791666666666669,0.9791666666666669,0.7760778202061099,1.0,600,pooled_over_seeds,0.5916666666666667,0.5516666666666666,0.6316666666666667
cross_trigger,PW,CODE,2,1.0,1.0,0.864535984848485,1.0,600,pooled_over_seeds,0.56,0.52,0.5983333333333334
cross_trigger,PW,MATH,2,1.0,1.0,0.7599999999999999,1.0,600,pooled_over_seeds,0.5966666666666667,0.5566666666666666,0.6366666666666667
cross_trigger,SEM,CODE,2,1.0,1.0,0.6191302910052907,1.0,600,pooled_over_seeds,0.5333333333333333,0.49333333333333335,0.5733333333333334
cross_trigger,SEM,MATH,2,0.9117647058823528,0.9117647058823528,0.6180179598937127,1.0,600,pooled_over_seeds,0.5683333333333334,0.5283333333333333,0.6083333333333333
